time,RSSI1,RSSI2,RSSI3,RSSI4,RSSI5,RSSI6,RSSI7,RSSI8,RSSI9,RSSI10,state
111210,-100,-100,-95,-100,-100,-100,-71,-100,-58,-100,stay
111220,-100,-100,-95,-100,-83,-100,-100,-100,-63,-69,stay
111230,-100,-100,-94,-100,-85,-78,-71,-100,-66,-72,stay
111240,-100,-100,-100,-100,-82,-80,-90,-100,-100,-100,stay
111250,-100,-100,-100,-100,-85,-82,-66,-100,-100,-100,stay
111200,-100,-100,-96,-100,-82,-100,-69,-59,-57,-66,stay
111210,-100,-100,-95,-100,-100,-100,-71,-100,-58,-100,stay
111220,-100,-100,-95,-100,-83,-100,-100,-100,-63,-69,stay
111230,-100,-100,-94,-100,-85,-78,-71,-100,-66,-72,stay
111240,-100,-100,-100,-100,-82,-80,-90,-100,-100,-100,stay
111250,-100,-100,-100,-100,-85,-82,-66,-100,-100,-100,stay
111300,-100,-100,-90,-100,-86,-100,-70,-100,-58,-100,stay
111310,-100,-100,-95,-100,-86,-82,-66,-100,-65,-100,stay
111320,-100,-100,-100,-100,-100,-100,-100,-54,-100,-100,stay
111330,-100,-100,-100,-100,-84,-100,-80,-100,-100,-100,stay
111740,-100,-100,-93,-100,-84,-100,-68,-100,-60,-100,stay
111750,-100,-100,-96,-100,-86,-77,-73,-100,-59,-69,stay
111300,-100,-100,-90,-100,-86,-100,-70,-100,-58,-100,stay
111310,-100,-100,-95,-100,-86,-82,-66,-100,-65,-100,stay
111320,-100,-100,-100,-100,-100,-100,-100,-54,-100,-100,stay
111330,-100,-100,-100,-100,-84,-100,-80,-100,-100,-100,stay
111740,-100,-100,-93,-100,-84,-100,-68,-100,-60,-100,stay
111750,-100,-100,-96,-100,-86,-77,-73,-100,-59,-69,stay
111800,-100,-100,-100,-100,-85,-100,-71,-100,-60,-100,stay
111810,-100,-100,-93,-100,-81,-76,-69,-100,-100,-100,stay
111820,-100,-100,-100,-100,-83,-100,-65,-100,-60,-100,stay
111830,-100,-100,-100,-100,-83,-100,-70,-59,-59,-100,stay
111840,-100,-100,-100,-100,-100,-100,-68,-100,-68,-69,stay
111850,-100,-100,-96,-100,-83,-100,-71,-74,-57,-100,stay
111800,-100,-100,-100,-100,-85,-100,-71,-100,-60,-100,stay
111810,-100,-100,-93,-100,-81,-76,-69,-100,-100,-100,stay
111820,-100,-100,-100,-100,-83,-100,-65,-100,-60,-100,stay
111830,-100,-100,-100,-100,-83,-100,-70,-59,-59,-100,stay
111840,-100,-100,-100,-100,-100,-100,-68,-100,-68,-69,stay
111850,-100,-100,-96,-100,-83,-100,-71,-74,-57,-100,stay
111900,-100,-100,-97,-100,-81,-100,-71,-100,-61,-100,stay
111910,-100,-100,-100,-100,-82,-80,-68,-100,-100,-100,stay
111920,-100,-100,-93,-94,-79,-83,-68,-100,-100,-100,stay
111930,-100,-100,-96,-100,-83,-81,-67,-100,-68,-79,stay
111940,-100,-100,-100,-100,-83,-82,-67,-100,-100,-100,stay
111950,-100,-100,-96,-100,-84,-79,-68,-100,-57,-100,stay
111900,-100,-100,-97,-100,-81,-100,-71,-100,-61,-100,stay
111910,-100,-100,-100,-100,-82,-80,-68,-100,-100,-100,stay
111920,-100,-100,-93,-94,-79,-83,-68,-100,-100,-100,stay
111930,-100,-100,-96,-100,-83,-81,-67,-100,-68,-79,stay
111940,-100,-100,-100,-100,-83,-82,-67,-100,-100,-100,stay
111950,-100,-100,-96,-100,-84,-79,-68,-100,-57,-100,stay
112000,-100,-100,-100,-100,-80,-100,-68,-100,-60,-80,stay
112010,-100,-100,-90,-100,-100,-83,-68,-100,-61,-75,stay
112020,-100,-100,-100,-100,-83,-78,-68,-100,-60,-100,stay
112030,-100,-100,-100,-100,-83,-80,-67,-100,-60,-100,stay
112040,-100,-100,-95,-100,-83,-82,-68,-100,-100,-100,stay
112050,-100,-100,-94,-100,-100,-78,-67,-100,-100,-100,stay
112000,-100,-100,-100,-100,-80,-100,-68,-100,-60,-80,stay
112010,-100,-100,-90,-100,-100,-83,-68,-100,-61,-75,stay
112020,-100,-100,-100,-100,-83,-78,-68,-100,-60,-100,stay
112030,-100,-100,-100,-100,-83,-80,-67,-100,-60,-100,stay
112040,-100,-100,-95,-100,-83,-82,-68,-100,-100,-100,stay
112050,-100,-100,-94,-100,-100,-78,-67,-100,-100,-100,stay
112100,-100,-100,-100,-100,-100,-78,-67,-63,-57,-100,stay
112110,-100,-100,-96,-100,-77,-100,-67,-100,-60,-100,stay
112120,-100,-100,-94,-100,-100,-100,-67,-61,-56,-100,stay
112130,-100,-100,-89,-100,-100,-82,-65,-100,-59,-100,stay
112140,-100,-100,-92,-100,-80,-78,-67,-100,-59,-100,stay
112150,-100,-100,-100,-100,-84,-81,-67,-100,-60,-100,stay
112100,-100,-100,-100,-100,-100,-78,-67,-63,-57,-100,stay
112110,-100,-100,-96,-100,-77,-100,-67,-100,-60,-100,stay
112120,-100,-100,-94,-100,-100,-100,-67,-61,-56,-100,stay
112130,-100,-100,-89,-100,-100,-82,-65,-100,-59,-100,stay
112140,-100,-100,-92,-100,-80,-78,-67,-100,-59,-100,stay
112150,-100,-100,-100,-100,-84,-81,-67,-100,-60,-100,stay
112200,-100,-100,-93,-100,-82,-81,-67,-100,-100,-70,stay
112210,-100,-100,-100,-100,-83,-79,-66,-100,-100,-73,stay
112220,-100,-100,-93,-100,-81,-78,-68,-100,-100,-67,stay
112230,-100,-100,-94,-100,-100,-75,-67,-100,-100,-77,stay
112240,-100,-100,-100,-96,-100,-100,-65,-64,-100,-70,stay
112250,-100,-100,-92,-100,-82,-78,-72,-100,-60,-80,stay
112200,-100,-100,-93,-100,-82,-81,-67,-100,-100,-70,stay
112210,-100,-100,-100,-100,-83,-79,-66,-100,-100,-73,stay
112220,-100,-100,-93,-100,-81,-78,-68,-100,-100,-67,stay
112230,-100,-100,-94,-100,-100,-75,-67,-100,-100,-77,stay
112240,-100,-100,-100,-96,-100,-100,-65,-64,-100,-70,stay
112250,-100,-100,-92,-100,-82,-78,-72,-100,-60,-80,stay
112300,-100,-100,-92,-100,-82,-82,-65,-100,-59,-79,stay
112310,-100,-100,-94,-100,-100,-75,-68,-100,-100,-100,stay
112320,-100,-100,-93,-100,-82,-100,-68,-100,-100,-81,stay
112330,-100,-100,-98,-100,-100,-100,-68,-100,-100,-80,stay
112340,-100,-100,-91,-100,-100,-81,-68,-72,-100,-64,stay
112350,-100,-100,-93,-100,-100,-80,-67,-100,-100,-77,stay
112300,-100,-100,-92,-100,-82,-82,-65,-100,-59,-79,stay
112310,-100,-100,-94,-100,-100,-75,-68,-100,-100,-100,stay
112320,-100,-100,-93,-100,-82,-100,-68,-100,-100,-81,stay
112330,-100,-100,-98,-100,-100,-100,-68,-100,-100,-80,stay
112340,-100,-100,-91,-100,-100,-81,-68,-72,-100,-64,stay
112350,-100,-100,-93,-100,-100,-80,-67,-100,-100,-77,stay
112400,-100,-100,-94,-96,-100,-81,-68,-100,-100,-81,stay
112410,-100,-100,-94,-96,-100,-100,-65,-100,-100,-80,stay
112420,-100,-100,-100,-100,-80,-100,-69,-100,-60,-100,stay
112430,-100,-100,-100,-97,-100,-79,-65,-100,-60,-80,stay
112440,-100,-100,-95,-100,-86,-100,-66,-100,-100,-72,stay
112450,-100,-100,-100,-100,-100,-100,-66,-71,-100,-75,stay
100100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100110,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100120,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100130,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100140,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100150,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100200,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100210,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100220,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,enter
100230,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,enter
100240,-82,-100,-97,-100,-100,-100,-100,-100,-100,-100,enter
100250,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,enter
112400,-100,-100,-94,-96,-100,-81,-68,-100,-100,-81,stay
112410,-100,-100,-94,-96,-100,-100,-65,-100,-100,-80,stay
112420,-100,-100,-100,-100,-80,-100,-69,-100,-60,-100,stay
112430,-100,-100,-100,-97,-100,-79,-65,-100,-60,-80,stay
112440,-100,-100,-95,-100,-86,-100,-66,-100,-100,-72,stay
112450,-100,-100,-100,-100,-100,-100,-66,-71,-100,-75,stay
112500,-100,-100,-100,-100,-100,-100,-66,-100,-100,-72,stay
112510,-100,-100,-100,-100,-100,-86,-67,-65,-59,-69,stay
112520,-100,-100,-100,-100,-100,-78,-100,-66,-100,-73,stay
