Datetime,Real_state,Predicted_state_cgr,Predicted_state_cg
2025-05-16 12:43:00,stay,stay,stay
2025-05-16 12:44:00,stay,stay,stay
2025-05-16 12:46:00,stay,stay,stay
2025-05-16 12:47:00,stay,stay,stay
2025-05-16 12:49:00,stay,stay,stay
2025-05-16 12:50:00,stay,stay,stay
2025-05-16 12:52:00,stay,stay,stay
2025-05-16 12:54:00,stay,stay,stay
2025-05-16 12:55:00,stay,stay,stay
2025-05-16 12:57:00,stay,stay,stay
2025-05-16 12:58:00,stay,stay,stay
2025-05-16 13:00:00,stay,stay,stay
2025-05-16 13:01:00,stay,stay,stay
2025-05-16 13:03:00,stay,stay,stay
2025-05-16 13:05:00,stay,stay,stay
2025-05-16 13:06:00,stay,stay,stay
2025-05-16 13:08:00,stay,stay,stay
2025-05-16 13:09:00,stay,stay,stay
2025-05-16 13:11:00,stay,stay,stay
2025-05-16 13:12:00,stay,stay,stay
2025-05-16 13:14:00,stay,stay,stay
