Datetime,RSSI1,RSSI2,RSSI3,RSSI4,RSSI5,RSSI6,RSSI7,RSSI8,RSSI9,RSSI10
2025-05-15 09:22:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:22:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:22:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:23:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:23:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:23:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:23:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:23:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:23:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:24:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:24:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:24:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:24:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:24:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:24:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:25:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:25:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:25:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:25:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:25:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:25:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:26:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:26:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:26:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:26:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:26:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:26:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:27:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:27:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
