ID,State_t-5,State_t-4,State_t-3,State_t-2,State_t-1,State_t,State_predicted
467,outside,outside,outside,outside,outside,outside,outside
468,outside,outside,outside,outside,outside,outside,outside
469,outside,outside,outside,outside,outside,outside,outside
470,outside,outside,outside,outside,outside,outside,outside
471,outside,outside,outside,outside,outside,outside,outside
472,outside,outside,outside,outside,outside,outside,outside
473,outside,outside,outside,outside,outside,outside,outside
474,outside,outside,outside,outside,outside,outside,outside
475,outside,outside,outside,outside,outside,outside,outside
476,outside,outside,outside,outside,outside,outside,outside
477,outside,outside,outside,outside,outside,outside,outside
478,outside,outside,outside,outside,outside,outside,outside
479,outside,outside,outside,outside,outside,outside,outside
480,outside,outside,outside,outside,outside,outside,outside
481,outside,outside,outside,outside,outside,outside,outside
482,outside,outside,outside,outside,outside,outside,outside
483,outside,outside,outside,outside,outside,outside,outside
484,outside,outside,outside,outside,outside,outside,outside
485,outside,outside,outside,outside,outside,outside,outside
486,outside,outside,outside,outside,outside,outside,outside
487,outside,outside,outside,outside,outside,outside,outside
488,outside,outside,outside,outside,outside,outside,outside
489,outside,outside,outside,outside,outside,outside,outside
490,outside,outside,outside,outside,outside,outside,outside
491,outside,outside,outside,outside,outside,outside,outside
492,outside,outside,outside,outside,outside,outside,outside
493,outside,outside,outside,outside,outside,outside,outside
494,outside,outside,outside,outside,outside,outside,outside
495,outside,outside,outside,outside,outside,outside,outside
496,outside,outside,outside,outside,outside,outside,outside
497,outside,outside,outside,outside,outside,outside,outside
498,outside,outside,outside,outside,outside,outside,outside
499,outside,outside,outside,outside,outside,outside,outside
500,outside,outside,outside,outside,outside,outside,outside
501,outside,outside,outside,outside,outside,outside,outside
502,outside,outside,outside,outside,outside,outside,outside
503,outside,outside,outside,outside,outside,outside,outside
504,outside,outside,outside,outside,outside,outside,outside
505,outside,outside,outside,outside,outside,outside,outside
506,outside,outside,outside,outside,outside,outside,outside
507,outside,outside,outside,outside,outside,outside,outside
508,outside,outside,outside,outside,outside,outside,outside
509,outside,outside,outside,outside,outside,outside,outside
510,outside,outside,outside,outside,outside,outside,outside
511,outside,outside,outside,outside,outside,outside,outside
512,outside,outside,outside,outside,outside,outside,outside
513,outside,outside,outside,outside,outside,outside,outside
514,outside,outside,outside,outside,outside,outside,outside
515,outside,outside,outside,outside,outside,outside,outside
516,outside,outside,outside,outside,outside,outside,outside
517,outside,outside,outside,outside,outside,outside,outside
518,outside,outside,outside,outside,outside,outside,outside
519,outside,outside,outside,outside,outside,outside,outside
520,outside,outside,outside,outside,outside,outside,outside
521,outside,outside,outside,outside,outside,outside,outside
522,outside,outside,outside,outside,outside,outside,outside
523,stay,stay,stay,stay,stay,stay,outside
524,stay,stay,stay,stay,stay,stay,outside
525,stay,stay,stay,stay,stay,stay,outside
526,stay,stay,stay,stay,stay,stay,outside
527,stay,stay,stay,leave,arrival,stay,outside
528,stay,stay,leave,arrival,outside,stay,outside
529,stay,leave,arrival,outside,outside,stay,outside
530,leave,arrival,outside,outside,outside,stay,outside
531,outside,outside,outside,outside,leave,stay,outside
532,outside,outside,outside,leave,outside,stay,outside
533,outside,leave,outside,outside,stay,stay,outside
534,leave,outside,outside,stay,outside,stay,outside
535,outside,outside,stay,outside,outside,stay,outside
536,outside,stay,outside,outside,outside,stay,outside
537,stay,outside,outside,outside,outside,stay,outside
538,outside,outside,outside,outside,outside,stay,outside
539,outside,outside,outside,outside,outside,stay,outside
540,outside,outside,outside,outside,outside,stay,outside
541,outside,outside,outside,outside,outside,stay,outside
542,outside,outside,outside,outside,outside,stay,outside
543,outside,outside,outside,outside,outside,stay,outside
544,outside,outside,outside,outside,outside,stay,outside
545,outside,outside,outside,outside,outside,stay,outside
